 smile id
38 CCN(CC1=CC=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CCC(O)C1=CC=CC=C1 L51159
39 CN(C)CCN(CC1=CC=CC=C1)C1=NC(=NC(NC2=CC(Cl)=C(Cl)C=C2N)=N1)N1CCC(CCCC(O)=O)CC1 L25046
40 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CCN(CC1)C1=CC=CC=C1C L43072
41 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(=NC(NC2=CC=CC=N2=O)=N1)N1CCC(CCCC(O)=O)CC1 L3520
42 CN(CCC(O)C1=CC=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N(C)CC1=CC=CC(=C1)C(F)(F)F L53271
43 CCN(CC1=CC(C)=CC=C1)C1=NC(=NC(NC[C@H](C)C(O)=O)=N1)N(C)CCC(O)C1=CC=CC=C1 L89943
44 CCCCN(CC1=CC=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N1CCC(CC1)C1=NOC2=C1C=C(F)C=C2 L47238
45 OCC1CN(C2=NC(NCCC3=CNC4=C3C=C(OCC3=CC=CC=C3)C=C4)=NC(=N2)N2CCC(CCCC(O)=O)CC2)C2=CC=CC=C2O1 L749
46 OCC1CN(C2=NC(NCC3=CC(I)=CC=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37580
47 CN(CC1=CC(Cl)=CC=C1)C1=NC(=NC(NC2=CC(Cl)=C(Cl)C=C2N)=N1)N1CCC(CCCC(O)=O)CC1 L25026
48 CN(CC1=CC=CC(C)=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37572
49 CC1=CC2=C(NC=C2CCNC2=NC(=NC(=N2)N2CC(CO)OC3=CC=CC=C23)N2CCC(CCCC(O)=O)CC2)C=C1 L607
50 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(NC2=CC=CC=N2=O)=N1 L40384
51 CCCCN(CC)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CCC(O)C1=CC=CC=C1 L47127
52 CN(C)CCN(CC1=CC=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CCC(O)C1=CC=CC=C1 L55383
53 CCN(CC1=CC(C)=CC=C1)C1=NC(=NC(NC[C@H](C)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L89920
54 OCC1CC2=C(C=CC=C2)N1C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37448
55 CCCCN(CC)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L47104
56 CN(CCC(O)C1=CC=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N(CC1=CC=CC=C1)CC1=CC=CC=C1 L52887
57 COC1=CC=CC(=C1)[C@@H](C)NC1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37450
58 CN(CC1=CC=CN=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37513
59 CN(CC1=CC=CO1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37514
60 CC1=C(CNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)C=CC=C1Cl L37451
61 OCC1CN(C2=NC(NCCC3=C(Cl)C=C(Cl)C=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37600
62 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(N[C@H]([C@@H](N)C2=CC=CC=C2)C2=CC=CC=C2)=N1 L72832
63 OCC1CN(C2=NC(NCC3=C(F)C(F)=CC(F)=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37554
64 CCCCN(CCCC)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L47680
65 OCC1CN(C2=NC(NCCC3=CNC4=C3C=CC=C4)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37610
66 COC1=CC=CC(OC)=C1CNC1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37542
67 CN(CCC1=CNC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37519
68 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CCCCC1C1=CC=CN=C1 L40576
69 CN(CC1=CC=CC(C)=C1)C1=NC(=NC(NC2=CC(Cl)=C(Cl)C=C2N)=N1)N1CCC(CCCC(O)=O)CC1 L25092
70 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(NC2=CC(Cl)=C(Cl)C=C2N)=N1 L61888
71 C[C@@H](CNC1=NC(NC2=CC=CC=N2=O)=NC(=N1)N(C)CC1=CC(Cl)=CC=C1)C(O)=O L77250
